epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,837.31,0.60308,2.00695,1.81254,1.15732,0.38942,0.45558,0.41964,0.34678,0.36488,0.40656,0.3657,0.27958,0.62911,2.35325,1.72118,1.23648,0.000182502,0.000182502,0.000182502
31,865.103,0.6039,2.00517,1.81586,1.15371,0.39821,0.44365,0.41706,0.34507,0.37907,0.41093,0.37027,0.28081,0.64595,2.34636,1.7006,1.27498,0.000179968,0.000179968,0.000179968
32,892.9,0.59815,2.00398,1.79677,1.15218,0.40547,0.48152,0.43562,0.36298,0.37348,0.45061,0.38206,0.28925,0.61407,2.35491,1.65451,1.2236,0.000177434,0.000177434,0.000177434
33,920.726,0.59185,1.98827,1.81168,1.14607,0.38189,0.49793,0.43915,0.3565,0.35142,0.46232,0.38096,0.2844,0.65648,2.45507,1.68354,1.26396,0.000174899,0.000174899,0.000174899
34,948.523,0.59032,1.98586,1.7681,1.14911,0.43774,0.45852,0.43983,0.36492,0.4016,0.41785,0.38275,0.28933,0.61233,2.39111,1.65039,1.21493,0.000172365,0.000172365,0.000172365
35,976.298,0.59615,1.99946,1.77053,1.15133,0.43701,0.47041,0.45151,0.37455,0.41054,0.43888,0.4004,0.30341,0.62636,2.49165,1.64069,1.23611,0.00016983,0.00016983,0.00016983
36,1003.99,0.59396,1.99205,1.76364,1.1504,0.43315,0.45233,0.44432,0.37229,0.40183,0.42309,0.39206,0.2971,0.6117,2.48384,1.64704,1.22714,0.000167296,0.000167296,0.000167296
37,1031.77,0.59118,1.95628,1.73999,1.14674,0.44182,0.45851,0.44743,0.37596,0.40519,0.40748,0.37909,0.28609,0.60575,2.40156,1.63601,1.21089,0.000164762,0.000164762,0.000164762
38,1059.45,0.58837,1.95686,1.72077,1.14568,0.41588,0.48044,0.43749,0.36354,0.38655,0.44397,0.38337,0.28639,0.62518,2.44705,1.69347,1.23778,0.000162227,0.000162227,0.000162227
39,1087.19,0.57976,1.9315,1.72347,1.13802,0.42557,0.48185,0.45146,0.37963,0.39798,0.44122,0.40017,0.30474,0.60933,2.34733,1.59854,1.21532,0.000159693,0.000159693,0.000159693
40,1114.81,0.57604,1.90903,1.6977,1.13525,0.43412,0.45218,0.45754,0.38041,0.39793,0.41614,0.39375,0.30019,0.60684,2.46237,1.60692,1.21919,0.000157158,0.000157158,0.000157158
41,1142.39,0.5764,1.90311,1.69375,1.13544,0.41243,0.50236,0.43485,0.35588,0.37424,0.47131,0.37827,0.27685,0.62928,2.46919,1.62892,1.24044,0.000154624,0.000154624,0.000154624
42,1170.07,0.58254,1.90572,1.67184,1.14219,0.48681,0.4875,0.45896,0.38204,0.40197,0.46704,0.3971,0.29964,0.62139,2.40545,1.6018,1.23701,0.00015209,0.00015209,0.00015209
43,1197.68,0.56489,1.90035,1.65826,1.12707,0.52656,0.45823,0.45699,0.38162,0.48823,0.41871,0.39933,0.29795,0.60317,2.37782,1.61131,1.20804,0.000149555,0.000149555,0.000149555
44,1225.28,0.56465,1.88856,1.65704,1.12657,0.39064,0.50084,0.44957,0.37337,0.35665,0.46361,0.39354,0.30448,0.6004,2.43763,1.62426,1.21431,0.000147021,0.000147021,0.000147021
