epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,119.696,0.82843,2.40943,1.18886,1.19704,0.74686,0.75498,0.82601,0.53502,0.7094,0.70315,0.75289,0.44276,1.01598,2.11951,1.25532,1.38104,0.000891125,0.000891125,0.000891125
31,123.556,0.78965,2.30584,1.14113,1.14708,0.7127,0.71265,0.82566,0.61448,0.68746,0.64962,0.73572,0.47055,0.85164,2.05926,1.13379,1.29361,0.00087875,0.00087875,0.00087875
32,127.473,0.79426,2.20445,1.17098,1.15966,0.77804,0.69476,0.81717,0.5968,0.7233,0.58983,0.64678,0.37506,0.87152,2.53122,1.17749,1.31006,0.000866375,0.000866375,0.000866375
33,131.329,0.78961,2.23166,1.13359,1.14527,0.75796,0.78907,0.85514,0.64544,0.69182,0.6866,0.72261,0.43132,0.77033,2.23307,1.08998,1.23022,0.000854,0.000854,0.000854
34,135.239,0.75111,2.25923,1.11947,1.14507,0.78396,0.77168,0.85521,0.6561,0.72794,0.69366,0.73896,0.45596,0.74196,2.06985,1.08779,1.18865,0.000841625,0.000841625,0.000841625
35,139.126,0.78226,2.20267,1.11104,1.14972,0.76283,0.80609,0.86064,0.66474,0.75169,0.71497,0.78647,0.48962,0.71553,2.0739,0.99347,1.1688,0.00082925,0.00082925,0.00082925
36,142.977,0.76814,2.17574,1.10837,1.17064,0.84957,0.84745,0.91433,0.74056,0.76321,0.79242,0.81415,0.51011,0.66038,2.02063,0.83078,1.13259,0.000816875,0.000816875,0.000816875
37,146.797,0.76332,2.16584,1.08389,1.14173,0.70706,0.73448,0.80133,0.60389,0.58828,0.66488,0.65477,0.41028,0.75739,2.22948,1.21403,1.23541,0.0008045,0.0008045,0.0008045
38,150.722,0.77674,2.14486,1.03493,1.14833,0.81561,0.84228,0.90586,0.74255,0.79285,0.80527,0.85727,0.57021,0.66227,1.77871,0.81484,1.13052,0.000792125,0.000792125,0.000792125
39,154.518,0.73577,2.09572,1.00535,1.12544,0.79921,0.87287,0.90645,0.73428,0.8118,0.77255,0.84,0.54498,0.67385,1.88139,0.82252,1.13488,0.00077975,0.00077975,0.00077975
40,158.327,0.73066,2.05815,0.98234,1.10604,0.8385,0.89602,0.91867,0.7574,0.78897,0.83214,0.83217,0.53606,0.63318,1.85903,0.80282,1.10648,0.000767375,0.000767375,0.000767375
41,162.172,0.72818,2.03984,0.98391,1.11596,0.79912,0.81719,0.89323,0.7273,0.7734,0.69701,0.7837,0.48498,0.66395,1.87582,0.90093,1.12956,0.000755,0.000755,0.000755
42,166.035,0.69583,2.0524,0.9613,1.09731,0.7827,0.82079,0.89756,0.72536,0.76835,0.72793,0.81706,0.51442,0.7061,1.88966,0.8991,1.16179,0.000742625,0.000742625,0.000742625
43,169.807,0.74269,2.15226,0.99508,1.13989,0.86775,0.80676,0.91616,0.72715,0.8104,0.74545,0.80658,0.51592,0.69677,1.89666,0.85552,1.17719,0.00073025,0.00073025,0.00073025
44,173.634,0.70422,1.98353,0.93918,1.11362,0.77303,0.77218,0.87813,0.69224,0.80649,0.63585,0.77004,0.48831,0.6639,1.90332,0.97742,1.13775,0.000717875,0.000717875,0.000717875
45,177.498,0.67287,1.99762,0.89117,1.07418,0.83999,0.86634,0.9305,0.75314,0.83177,0.80091,0.85918,0.55816,0.65426,1.84139,0.75366,1.12223,0.0007055,0.0007055,0.0007055
46,181.304,0.66867,1.97947,0.91003,1.0763,0.88063,0.87881,0.94466,0.79066,0.8206,0.82855,0.85566,0.57213,0.60727,1.73045,0.70377,1.08903,0.000693125,0.000693125,0.000693125
47,185.106,0.7259,2.01733,0.98106,1.11509,0.83514,0.90375,0.93948,0.79164,0.82533,0.82699,0.88116,0.57832,0.59156,1.71282,0.7238,1.08213,0.00068075,0.00068075,0.00068075
48,188.885,0.66742,1.99047,0.88433,1.08683,0.82907,0.87814,0.9341,0.78703,0.86962,0.79469,0.89043,0.60465,0.58804,1.66805,0.67875,1.07169,0.000668375,0.000668375,0.000668375
49,192.702,0.67376,1.94349,0.89031,1.08254,0.85346,0.83433,0.92684,0.78364,0.85002,0.78091,0.87029,0.59134,0.60529,1.62463,0.77204,1.0898,0.000656,0.000656,0.000656
50,196.474,0.70051,2.01231,0.90905,1.0979,0.85249,0.86817,0.93583,0.76586,0.80663,0.80247,0.84607,0.55575,0.63309,1.61066,0.75916,1.10563,0.000643625,0.000643625,0.000643625
51,200.242,0.67089,1.86051,0.88315,1.08716,0.87339,0.89483,0.95694,0.81938,0.80992,0.82779,0.86192,0.5954,0.56593,1.5697,0.68333,1.04948,0.00063125,0.00063125,0.00063125
52,204.028,0.65978,1.91582,0.85657,1.07433,0.84263,0.87426,0.94323,0.80364,0.76067,0.82667,0.8553,0.58262,0.55991,1.609,0.72577,1.04962,0.000618875,0.000618875,0.000618875
53,207.89,0.64117,1.89362,0.87058,1.07757,0.89463,0.87585,0.95036,0.8137,0.85526,0.82378,0.87952,0.59178,0.57438,1.63182,0.6656,1.05435,0.0006065,0.0006065,0.0006065
54,211.724,0.66197,1.86217,0.87266,1.09211,0.89566,0.93165,0.97209,0.85679,0.85361,0.85867,0.88101,0.58807,0.50986,1.59407,0.58258,1.00701,0.000594125,0.000594125,0.000594125
55,215.537,0.64249,1.89632,0.8625,1.07947,0.89612,0.90228,0.96675,0.85821,0.84389,0.84833,0.88637,0.6194,0.48935,1.55924,0.59138,0.99238,0.00058175,0.00058175,0.00058175
56,219.322,0.63025,1.79279,0.79853,1.05385,0.89388,0.88593,0.96861,0.85761,0.87379,0.84521,0.92266,0.64161,0.49436,1.48851,0.62297,0.99536,0.000569375,0.000569375,0.000569375
57,223.083,0.64049,1.83276,0.79702,1.06405,0.90058,0.92242,0.96678,0.86017,0.8897,0.86092,0.91081,0.63079,0.49813,1.70383,0.574,0.99979,0.000557,0.000557,0.000557
58,226.918,0.61653,1.78057,0.80798,1.04896,0.92245,0.94084,0.97929,0.88326,0.88808,0.89926,0.91369,0.64732,0.4796,1.44829,0.53973,0.98584,0.000544625,0.000544625,0.000544625
59,230.733,0.5985,1.76716,0.80793,1.02348,0.92152,0.89242,0.96749,0.86696,0.87234,0.84677,0.89346,0.61594,0.49179,1.50504,0.60076,0.99588,0.00053225,0.00053225,0.00053225
60,234.52,0.61774,1.83976,0.83763,1.05641,0.94113,0.93654,0.98243,0.88687,0.87554,0.86411,0.88254,0.63495,0.46141,1.49208,0.53395,0.96877,0.000519875,0.000519875,0.000519875
61,238.378,0.58789,1.72868,0.76002,1.03352,0.94596,0.98093,0.98832,0.89436,0.9027,0.92514,0.93521,0.66779,0.45893,1.34317,0.47017,0.97174,0.0005075,0.0005075,0.0005075
62,242.191,0.60263,1.78213,0.75935,1.05184,0.95066,0.95575,0.98439,0.89208,0.90547,0.90872,0.93059,0.66806,0.44043,1.33271,0.49136,0.94462,0.000495125,0.000495125,0.000495125
63,246.056,0.58031,1.77677,0.71724,1.01881,0.96712,0.96285,0.98742,0.90539,0.93763,0.93429,0.95825,0.67921,0.41569,1.33395,0.45499,0.93091,0.00048275,0.00048275,0.00048275
64,249.92,0.57989,1.72526,0.74295,1.02271,0.96209,0.97788,0.99077,0.91318,0.9374,0.93446,0.95246,0.68551,0.42978,1.35623,0.44437,0.94033,0.000470375,0.000470375,0.000470375
65,253.759,0.59045,1.74912,0.73992,1.03635,0.93423,0.96593,0.98567,0.88982,0.89935,0.90118,0.91829,0.6625,0.45876,1.35054,0.50907,0.95842,0.000458,0.000458,0.000458
66,257.526,0.54927,1.63277,0.68744,1.0204,0.96468,0.95983,0.98748,0.91737,0.94065,0.93645,0.95381,0.70988,0.41471,1.26249,0.44799,0.9335,0.000445625,0.000445625,0.000445625
67,261.326,0.5912,1.74029,0.76154,1.03322,0.91723,0.97668,0.98442,0.89925,0.92,0.91787,0.94804,0.69488,0.42459,1.26982,0.45401,0.94213,0.00043325,0.00043325,0.00043325
68,265.158,0.55087,1.63852,0.70009,1.00734,0.9664,0.96791,0.98735,0.91017,0.93544,0.9325,0.94968,0.69643,0.4115,1.2672,0.43856,0.93811,0.000420875,0.000420875,0.000420875
69,269.041,0.51581,1.6317,0.65396,0.99456,0.91243,0.98243,0.98484,0.91421,0.86271,0.92412,0.92214,0.6787,0.4077,1.44866,0.44654,0.93997,0.0004085,0.0004085,0.0004085
70,272.86,0.54832,1.68609,0.67561,1.02423,0.96622,0.96085,0.98852,0.9181,0.93041,0.92622,0.94401,0.69418,0.39913,1.2534,0.41406,0.92105,0.000396125,0.000396125,0.000396125
71,276.647,0.53121,1.56897,0.65448,0.9882,0.95828,0.96999,0.98962,0.92401,0.92613,0.93961,0.95453,0.71079,0.38047,1.19775,0.40503,0.91026,0.00038375,0.00038375,0.00038375
