epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2040.81,0.96799,2.73785,2.40556,1.27863,0.35223,0.39538,0.31983,0.22794,0.32681,0.36009,0.27076,0.16512,0.87362,2.45584,2.03075,1.31701,0.007129,0.007129,0.007129
31,2107.83,0.95382,2.71483,2.40581,1.26804,0.31989,0.38486,0.32358,0.22932,0.2924,0.34664,0.27189,0.16786,0.89085,2.47907,2.00878,1.3269,0.00703,0.00703,0.00703
32,2174.96,0.94564,2.71783,2.37616,1.27063,0.30292,0.38537,0.30362,0.21202,0.28746,0.34801,0.26401,0.16058,0.88516,2.51512,2.0713,1.32455,0.006931,0.006931,0.006931
33,2241.81,0.93522,2.672,2.37258,1.26336,0.36524,0.39469,0.34001,0.24414,0.3415,0.35706,0.29123,0.17625,0.85749,2.42424,1.95587,1.30754,0.006832,0.006832,0.006832
34,2308.7,0.94311,2.6788,2.36117,1.27088,0.40055,0.3858,0.34544,0.24608,0.37908,0.34866,0.29909,0.18692,0.86176,2.36453,1.96171,1.30119,0.006733,0.006733,0.006733
35,2375.62,0.94023,2.68605,2.34325,1.26199,0.37663,0.39464,0.34382,0.2473,0.35493,0.34849,0.29606,0.18206,0.83828,2.40938,1.95281,1.28531,0.006634,0.006634,0.006634
36,2442.53,0.93275,2.67128,2.31628,1.25879,0.39444,0.41017,0.36845,0.26671,0.36807,0.36805,0.31623,0.19478,0.83914,2.35389,1.90087,1.29292,0.006535,0.006535,0.006535
37,2509.13,0.92289,2.64259,2.28971,1.25426,0.40515,0.41987,0.37204,0.27123,0.38038,0.38103,0.32044,0.19873,0.84404,2.33002,1.87241,1.29909,0.006436,0.006436,0.006436
38,2575.91,0.91752,2.61684,2.30218,1.24944,0.38706,0.42673,0.38224,0.27931,0.36019,0.39156,0.33484,0.21029,0.84393,2.30615,1.86268,1.29589,0.006337,0.006337,0.006337
39,2642.65,0.90842,2.62119,2.28819,1.24619,0.42987,0.41008,0.38155,0.28031,0.40235,0.37468,0.33312,0.20826,0.81114,2.28908,1.85849,1.26887,0.006238,0.006238,0.006238
40,2709.61,0.9051,2.61329,2.27269,1.24458,0.40974,0.41925,0.38395,0.28054,0.38742,0.37769,0.33027,0.20603,0.81636,2.3074,1.87255,1.26805,0.006139,0.006139,0.006139
41,2776.42,0.9015,2.58639,2.26432,1.24393,0.40341,0.43452,0.39409,0.2894,0.37956,0.39311,0.34403,0.2152,0.81721,2.28321,1.82472,1.27185,0.00604,0.00604,0.00604
42,2843.07,0.90418,2.59128,2.25549,1.244,0.42607,0.4445,0.40274,0.29945,0.40223,0.40666,0.35336,0.22548,0.80644,2.21155,1.80476,1.26734,0.005941,0.005941,0.005941
43,2909.93,0.90317,2.59122,2.26953,1.24648,0.43503,0.44802,0.41097,0.3084,0.41151,0.41025,0.36188,0.23209,0.78138,2.19978,1.78821,1.24099,0.005842,0.005842,0.005842
44,2976.58,0.89593,2.57399,2.24715,1.2409,0.45143,0.45671,0.41931,0.31542,0.42035,0.41989,0.36936,0.23882,0.78617,2.17371,1.76497,1.24668,0.005743,0.005743,0.005743
45,3043.26,0.889,2.54021,2.21397,1.23296,0.42851,0.47529,0.42352,0.31124,0.39965,0.43459,0.36754,0.23203,0.80814,2.19693,1.74272,1.27052,0.005644,0.005644,0.005644
46,3109.96,0.89034,2.58175,2.21916,1.23537,0.44145,0.45807,0.4364,0.3319,0.41848,0.4221,0.3872,0.24821,0.77544,2.17702,1.72815,1.24158,0.005545,0.005545,0.005545
47,3176.8,0.88759,2.54309,2.18768,1.23299,0.45883,0.45617,0.44184,0.3334,0.43354,0.4164,0.39286,0.25462,0.77107,2.14043,1.70483,1.23931,0.005446,0.005446,0.005446
48,3243.41,0.88345,2.54492,2.18249,1.22928,0.44105,0.47014,0.44443,0.33482,0.41417,0.43122,0.38859,0.24845,0.77849,2.14035,1.72826,1.24147,0.005347,0.005347,0.005347
49,3310.02,0.88764,2.53416,2.19259,1.22996,0.48653,0.47857,0.46775,0.35528,0.46381,0.44229,0.4139,0.2696,0.76282,2.09119,1.63756,1.22991,0.005248,0.005248,0.005248
50,3376.68,0.87684,2.48708,2.15608,1.22385,0.5022,0.49041,0.47543,0.36432,0.47536,0.4532,0.42543,0.2769,0.75555,2.0668,1.61798,1.22868,0.005149,0.005149,0.005149
51,3443.35,0.85788,2.49018,2.13384,1.21297,0.4697,0.47699,0.46755,0.36123,0.45016,0.43867,0.41735,0.27417,0.74799,2.05898,1.61598,1.22142,0.00505,0.00505,0.00505
52,3509.79,0.8664,2.5035,2.1365,1.22006,0.49147,0.49182,0.47844,0.3688,0.47166,0.45579,0.42819,0.28079,0.7522,2.05712,1.61149,1.22382,0.004951,0.004951,0.004951
53,3576.52,0.85948,2.47519,2.13106,1.21598,0.51717,0.48373,0.48251,0.37174,0.48929,0.44721,0.42698,0.27838,0.74472,2.03688,1.60762,1.21842,0.004852,0.004852,0.004852
54,3643.18,0.85977,2.47059,2.10849,1.21425,0.51837,0.48735,0.49618,0.38624,0.48026,0.45276,0.43992,0.28856,0.73216,2.01819,1.56562,1.20561,0.004753,0.004753,0.004753
55,3709.89,0.86071,2.43765,2.10515,1.21334,0.49793,0.50118,0.50299,0.39204,0.46669,0.46392,0.44958,0.2979,0.72612,1.98569,1.55924,1.19973,0.004654,0.004654,0.004654
56,3776.48,0.84895,2.45594,2.09418,1.20592,0.5127,0.51133,0.51412,0.39946,0.48271,0.46953,0.45787,0.30063,0.72576,1.97883,1.54607,1.2009,0.004555,0.004555,0.004555
